date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-08-24T00:00:00.000Z,11.57,11.9,11.11,11.3,1279000,11.57,11.9,11.11,11.3,1279000,0.0,1.0
2021-08-25T00:00:00.000Z,10.43,11.6,9.98,11.5805,5599989,10.43,11.6,9.98,11.5805,5599989,0.0,1.0
2021-08-26T00:00:00.000Z,9.96,11.04,9.96,11.0,3293796,9.96,11.04,9.96,11.0,3293796,0.0,1.0
2021-08-27T00:00:00.000Z,10.35,10.5,9.5,10.3141,2825007,10.35,10.5,9.5,10.3141,2825007,0.0,1.0
2021-08-30T00:00:00.000Z,10.03,10.51,9.8,10.5,2264954,10.03,10.51,9.8,10.5,2264954,0.0,1.0
2021-08-31T00:00:00.000Z,10.03,10.2,9.66,10.0213,2193768,10.03,10.2,9.66,10.0213,2193768,0.0,1.0
2021-09-01T00:00:00.000Z,10.14,10.2997,9.98,10.18,1942575,10.14,10.2997,9.98,10.18,1942575,0.0,1.0
2021-09-02T00:00:00.000Z,11.63,12.27,10.0,10.2,4163167,11.63,12.27,10.0,10.2,4163167,0.0,1.0
2021-09-03T00:00:00.000Z,13.52,14.34,11.01,11.75,10006086,13.52,14.34,11.01,11.75,10006086,0.0,1.0
2021-09-07T00:00:00.000Z,14.5,16.46,14.07,15.02,15909102,14.5,16.46,14.07,15.02,15909102,0.0,1.0
2021-09-08T00:00:00.000Z,15.09,15.7,14.5102,14.745,6717263,15.09,15.7,14.5102,14.745,6717263,0.0,1.0
2021-09-09T00:00:00.000Z,20.72,21.34,16.27,16.27,43147806,20.72,21.34,16.27,16.27,43147806,0.0,1.0
2021-09-10T00:00:00.000Z,18.69,20.87,17.81,20.28,13557431,18.69,20.87,17.81,20.28,13557431,0.0,1.0
2021-09-13T00:00:00.000Z,15.4,18.41,15.03,18.38,8788112,15.4,18.41,15.03,18.38,8788112,0.0,1.0
2021-09-14T00:00:00.000Z,15.78,16.97,15.13,15.89,5329524,15.78,16.97,15.13,15.89,5329524,0.0,1.0
2021-09-15T00:00:00.000Z,15.39,16.05,14.62,16.0353,4028470,15.39,16.05,14.62,16.0353,4028470,0.0,1.0
2021-09-16T00:00:00.000Z,15.89,16.59,14.91,15.58,3616555,15.89,16.59,14.91,15.58,3616555,0.0,1.0
2021-09-17T00:00:00.000Z,15.41,16.15,15.28,16.15,3880128,15.41,16.15,15.28,16.15,3880128,0.0,1.0
2021-09-20T00:00:00.000Z,14.81,15.1,14.03,14.78,3338878,14.81,15.1,14.03,14.78,3338878,0.0,1.0
2021-09-21T00:00:00.000Z,14.47,15.09,14.29,14.86,2417832,14.47,15.09,14.29,14.86,2417832,0.0,1.0
2021-09-22T00:00:00.000Z,14.54,15.4,14.5,15.0,2151474,14.54,15.4,14.5,15.0,2151474,0.0,1.0
2021-09-23T00:00:00.000Z,14.15,14.7666,14.05,14.54,2109370,14.15,14.7666,14.05,14.54,2109370,0.0,1.0
2021-09-24T00:00:00.000Z,14.05,14.25,13.46,14.18,1952433,14.05,14.25,13.46,14.18,1952433,0.0,1.0
2021-09-27T00:00:00.000Z,14.32,15.33,14.16,14.3,3192176,14.32,15.33,14.16,14.3,3192176,0.0,1.0
2021-09-28T00:00:00.000Z,15.56,15.63,14.25,14.25,3804628,15.56,15.63,14.25,14.25,3804628,0.0,1.0
2021-09-29T00:00:00.000Z,14.66,16.39,14.59,15.9727,3193721,14.66,16.39,14.59,15.9727,3193721,0.0,1.0
2021-09-30T00:00:00.000Z,16.13,16.19,15.02,15.36,3539648,16.13,16.19,15.02,15.36,3539648,0.0,1.0
2021-10-01T00:00:00.000Z,15.98,16.43,14.9398,15.9,4469971,15.98,16.43,14.9398,15.9,4469971,0.0,1.0
2021-10-04T00:00:00.000Z,14.79,16.04,14.36,15.97,3945755,14.79,16.04,14.36,15.97,3945755,0.0,1.0
2021-10-05T00:00:00.000Z,14.59,14.98,14.05,14.83,2761433,14.59,14.98,14.05,14.83,2761433,0.0,1.0
2021-10-06T00:00:00.000Z,14.0,14.68,13.8,14.4,4949225,14.0,14.68,13.8,14.4,4949225,0.0,1.0
2021-10-07T00:00:00.000Z,15.46,15.908,14.65,15.25,9600181,15.46,15.908,14.65,15.25,9600181,0.0,1.0
2021-10-08T00:00:00.000Z,14.71,16.0999,13.825,14.0,16596453,14.71,16.0999,13.825,14.0,16596453,0.0,1.0
2021-10-11T00:00:00.000Z,14.05,14.68,14.0,14.6639,3243112,14.05,14.68,14.0,14.6639,3243112,0.0,1.0
2021-10-12T00:00:00.000Z,13.5,14.24,13.48,14.11,4044289,13.5,14.24,13.48,14.11,4044289,0.0,1.0
2021-10-13T00:00:00.000Z,13.25,13.88,12.88,13.53,4602803,13.25,13.88,12.88,13.53,4602803,0.0,1.0
2021-10-14T00:00:00.000Z,13.57,13.7,13.031,13.4,2786717,13.57,13.7,13.031,13.4,2786717,0.0,1.0
2021-10-15T00:00:00.000Z,12.8,13.75,12.705,13.6739,5226078,12.8,13.75,12.705,13.6739,5226078,0.0,1.0
